id,"datetime",lat,lon,"train_number","next_station","delay","vehicle_type","vehicle_type_abbr","destination"
202751,"1537538396000",51.4689566667,5.71223333333,"3566","Helmond","PT0S","Intercity","IC","Schiphol Airport"
202752,"1537538395000",51.444225,5.51157666667,"864","Eindhoven","PT0S","Intercity","IC","Alkmaar"
202756,"1537538389000",51.3370461667,5.60499533333,"6459","Maarheeze","PT0S","Sprinter","SPR","Weert"
202759,"1537538393000",51.4337866667,4.11601,"2250","Krabbendijke","PT0S","Intercity","IC","Vlissingen"
202763,"1537538393000",50.8511943333,5.70496266667,"2968","Maastricht","PT0S","Intercity","IC","Amsterdam Centraal"
202764,"1537538395000",51.5398316667,4.457215,"2271","Roosendaal","PT0S","Intercity","IC","Amsterdam Centraal"
202768,"1537538391000",52.116929557589,4.4202077170014,"6369","Den Haag Mariahoeve","PT0S","Sprinter","SPR","Den Haag Centraal"
202769,"1537538393000",52.388619184188,5.2709889925178,"14663","Almere Buiten","PT0S","Sprinter","SPR","Zwolle"
202770,"1537538392000",53.06246,5.83585,"9057","Grou-Jirnsum","PT0S","Sprinter","SPR","Leeuwarden"
202771,"1537538393000",52.019721319012,5.5492272054371,"7462","Veenendaal Centrum","PT0S","Sprinter","SPR","Uitgeest"
202772,"1537538397000",52.38964,6.13997333333,"3669","Wijhe","PT0S","Intercity","IC","Roosendaal"
202774,"1537538407000",52.0884783333,5.111375,"11760","Utrecht Centraal","PT0S","Intercity","IC","Den Haag Centraal"
202775,"1537538408000",52.153875,5.36892333333,"1562","Amersfoort","PT5M","Intercity","IC","Amsterdam Centraal"
202776,"1537538404000",52.108245959953,4.4073914272041,"6354","Voorschoten","PT0S","Sprinter","SPR","Haarlem"
202777,"1537538400000",52.2253616667,5.18273166667,"1563","Hilversum","PT10M","Intercity","IC","Deventer"
202779,"1537538404000",52.2571996667,6.1609145,"1661","Deventer","PT0S","Intercity","IC","Enschede"
202781,"1537538401000",52.323723,4.93605366667,"2471","Duivendrecht","PT0S","Intercity","IC","Dordrecht"
202784,"1537538403000",52.020862641879,5.547976236612,"7461","Veenendaal Centrum","PT0S","Sprinter","SPR","Rhenen"
202785,"1537538406000",52.3907911667,6.14094116667,"3656","Wijhe","PT0S","Intercity","IC","Zwolle"
202788,"1537538399000",52.338447761378,4.8649386745076,"4365","Amsterdam Zuid","PT0S","Sprinter","SPR","Almere Oostvaarders"
202793,"1537538404000",51.5648966667,5.05236666667,"3664","Tilburg","PT0S","Intercity","IC","Zwolle"
202797,"1537538403000",52.12016576793,5.1423950702306,"4961","Utrecht Overvecht","PT0S","Sprinter","SPR","Utrecht Centraal"
202800,"1537538408000",52.388416437966,4.6378059972875,"4867","Haarlem","PT0S","Sprinter","SPR","Heerhugowaard"
202804,"1537538406000",52.339137579288,4.9213212463564,"4067","Duivendrecht","PT0S","Sprinter","SPR","Rotterdam Centraal"
202805,"1537538403000",51.3589905,5.58804983333,"6468","Heeze","PT0S","Sprinter","SPR","Tilburg Universiteit"
202808,"1537538402000",52.387765349386,4.6390983906499,"4854","Haarlem","PT0S","Sprinter","SPR","Amsterdam Centraal"
202809,"1537538398000",52.378781727739,4.90179851684,"5858","Amsterdam Centraal","PT0S","Sprinter","SPR","Hoofddorp"
202811,"1537538405000",51.814712165722,4.6424282512632,"5065","Zwijndrecht","PT0S","Sprinter","SPR","Dordrecht"
202812,"1537538403000",51.9516883333,4.55303166667,"2867","Rotterdam Alexander","PT0S","Intercity","IC","Utrecht Centraal"
202814,"1537538406000",52.2391861667,6.10320183333,"7064","Twello","PT0S","Sprinter","SPR","Apeldoorn"
202815,"1537538401000",51.815367339227,4.6412374783223,"5060","Zwijndrecht","PT0S","Sprinter","SPR","Den Haag Centraal"
202816,"1537538407000",52.32015,4.93596666667,"3565","Amsterdam Bijlmer ArenA","PT0S","Intercity","IC","Venlo"
202819,"1537538400000",52.06355778227,5.1460840201728,"6960","Utrecht Lunetten","PT0S","Sprinter","SPR","Den Haag Centraal"
202820,"1537538399000",52.3572266667,4.92455166667,"3065","Amsterdam Amstel","PT0S","Intercity","IC","Nijmegen"
202826,"1537538400000",52.015437,4.73740683333,"2058","Gouda","PT0S","Intercity","IC","Den Haag Centraal"
202829,"1537538404000",52.092725,5.10697,"865","Utrecht Centraal","PT0S","Intercity","IC","Maastricht"
202830,"1537538400000",51.5836521667,4.9260135,"6662","Gilze-Rijen","PT0S","Sprinter","SPR","Arnhem Centraal"
202832,"1537538404000",52.079395,4.647,"8756","Boskoop","PT0S","Sprinter","SPR","Alphen a/d Rijn"
202833,"1537538404000",51.9213933333,4.427185,"2458","Schiedam Centrum","PT0S","Intercity","IC","Lelystad Centrum"
202838,"1537538398000",52.32584534696,4.7834248581276,"4656","Schiphol Airport","PT5M","Sprinter","SPR","Den Haag Centraal"
202846,"1537538402000",51.8424645,5.85181066667,"7662","Nijmegen","PT0S","Sprinter","SPR","Wijchen"
202848,"1537538403000",51.4949633333,3.61765333333,"2248","Middelburg","PT0S","Intercity","IC","Vlissingen"
202850,"1537538407000",52.68218,4.8383,"3069","Heerhugowaard","PT0S","Intercity","IC","Nijmegen"
202852,"1537538404000",52.163211384581,5.3888947353186,"15862","Amersfoort","PT0S","Sprinter","SPR","Amsterdam Centraal"
202858,"1537538400000",52.7911233333,6.11650333333,"9066","Steenwijk","PT5M","Sprinter","SPR","Meppel"
202860,"1537538406000",52.9802271667,5.892132,"666","Heerenveen","PT0S","Intercity","IC","Rotterdam Centraal"
202861,"1537538407000",52.1248113333,4.59368316667,"8858","Leiden Lammenschans","PT5M","Intercity","IC","Leiden Centraal"
202862,"1537538407000",52.063831189339,5.3716805014725,"7363","Maarn","PT0S","Sprinter","SPR","Rhenen"
202868,"1537538407000",52.3125028333,4.94723316667,"3560","Amsterdam Bijlmer ArenA","PT0S","Intercity","IC","Schiphol Airport"
202869,"1537538402000",52.325055241704,4.9352850664816,"4058","Amsterdam Amstel","PT0S","Sprinter","SPR","Uitgeest"
202874,"1537538398000",52.0143666667,4.67087166667,"8658","Waddinxveen Triangel","PT0S","Sprinter","SPR","Alphen a/d Rijn"
202877,"1537538405000",52.006585,5.78702166667,"3061","Arnhem Centraal","PT5M","Intercity","IC","Nijmegen"
202878,"1537538401000",52.31224407358,5.0438221983332,"15863","Weesp","PT0S","Sprinter","SPR","Amersfoort Vathorst"
202880,"1537538405000",52.15842,4.47120833333,"302456","Leiden Centraal","PT0S","Intercity","IC","Lelystad Centrum"
202882,"1537538404000",52.1533628333,5.36765816667,"563","Amersfoort","PT0S","Intercity","IC","Groningen"
